PDB,Path,PocketInfo
2Q0U,/data/rishabh/BindingMOAD_2020/2q0u_1.pdb,A:401
2FL6,/data/rishabh/BindingMOAD_2020/2fl6_1.pdb,A:604
2FL2,/data/rishabh/BindingMOAD_2020/2fl2_1.pdb,B:605
5NCF,/data/rishabh/BindingMOAD_2020/5ncf_1.pdb,A:201
3UKR,/data/rishabh/BindingMOAD_2020/3ukr_1.pdb,B:401
3EKS,/data/rishabh/BindingMOAD_2020/3eks_1.pdb,A:903
5NCP,/data/rishabh/BindingMOAD_2020/5ncp_1.pdb,A:201
2Q2Y,/data/rishabh/BindingMOAD_2020/2q2y_1.pdb,A:604
5ZZB,/data/rishabh/BindingMOAD_2020/5zzb_2.pdb,D:401
4PA0,/data/rishabh/BindingMOAD_2020/4pa0_2.pdb,A:1101
3EKU,/data/rishabh/BindingMOAD_2020/3eku_1.pdb,A:903
3MN5,/data/rishabh/BindingMOAD_2020/3mn5_1.pdb,A:376
1J6Z,/data/rishabh/BindingMOAD_2020/1j6z_1.pdb,A:1381
3K3B,/data/rishabh/BindingMOAD_2020/3k3b_3.pdb,B:372
1Q0B,/data/rishabh/BindingMOAD_2020/1q0b_2.pdb,B:605
5NDU,/data/rishabh/BindingMOAD_2020/5ndu_1.pdb,A:201
1YRS,/data/rishabh/BindingMOAD_2020/1yrs_2.pdb,A:604
5NEG,/data/rishabh/BindingMOAD_2020/5neg_1.pdb,A:201
3L9H,/data/rishabh/BindingMOAD_2020/3l9h_1.pdb,B:602
2UYM,/data/rishabh/BindingMOAD_2020/2uym_2.pdb,B:604
7AKI,/data/rishabh/BindingMOAD_2020/7aki_1.pdb,A:202
2FME,/data/rishabh/BindingMOAD_2020/2fme_2.pdb,B:370
1ESV,/data/rishabh/BindingMOAD_2020/1esv_1.pdb,A:401
6RCF,/data/rishabh/BindingMOAD_2020/6rcf_1.pdb,A:201
1J78,/data/rishabh/BindingMOAD_2020/1j78_1.pdb,B:500
2GM1,/data/rishabh/BindingMOAD_2020/2gm1_3.pdb,E:371
1DTL,/data/rishabh/BindingMOAD_2020/1dtl_1.pdb,A:205
2X7E,/data/rishabh/BindingMOAD_2020/2x7e_2.pdb,B:1365
3CJO,/data/rishabh/BindingMOAD_2020/3cjo_2.pdb,B:603
1SQK,/data/rishabh/BindingMOAD_2020/1sqk_1.pdb,A:378
1RDW,/data/rishabh/BindingMOAD_2020/1rdw_1.pdb,X:391
6G6Y,/data/rishabh/BindingMOAD_2020/6g6y_1.pdb,A:403
5NCG,/data/rishabh/BindingMOAD_2020/5ncg_2.pdb,B:201
2A5X,/data/rishabh/BindingMOAD_2020/2a5x_1.pdb,A:379
3KEN,/data/rishabh/BindingMOAD_2020/3ken_1.pdb,A:370
2PG2,/data/rishabh/BindingMOAD_2020/2pg2_1.pdb,B:604
2UYI,/data/rishabh/BindingMOAD_2020/2uyi_2.pdb,B:604
6RCJ,/data/rishabh/BindingMOAD_2020/6rcj_1.pdb,A:201
2FKY,/data/rishabh/BindingMOAD_2020/2fky_2.pdb,A:604
